feature,importance
income_to_loan,0.27107922375850146
loan_grade,0.20446678511029182
person_home_ownership,0.16648049329924652
person_income,0.1412828492849
loan_intent,0.08556501952532809
person_emp_length,0.035095253889999845
loan_int_rate,0.028619727819708445
loan_percent_income,0.0234869420926567
emp_stability,0.012943437799504659
loan_amnt,0.009822478472847482
person_age,0.009306978118979565
age_credit_ratio,0.008155448792091813
cb_person_cred_hist_length,0.002145381186503961
cb_person_default_on_file,0.0007959007298947167
rate_bucket,0.0006542542647369246
high_risk_flag,9.982585480809924e-05
